Português,Kikongo
O,O
Oásis,S. nswadi
Obcecar,V. kondwa ngindu: lembi mona mbi: kwaminina mbi: tantamena: kombola: vukumuna: ketukila: vuninina: konda: lemba: tonta
Obedecer,V. lemvoka: lemvuka: wa: tumama: wila: lemvokela: lemvukila
Obediência,S. lemvo: lutumamu
Obediente,Adj. an'lemvo: n'tumami: asakala: alembama: avuvama
Obesidade,S. mpongo

