Português,Kikongo
U,U
Ubíquo,Adj. amwawonso
Uivar,V. wonga: woka: twenga: meka: kololoka: sika nkololo
Uivo,S. nwonga: nwoka: ntwenga: mbeka nkololoka: nkololo

