Português,Kikongo
Q,Q
Quadra,S. ya: ntangwa: tandu
Quadrado,S. kwadadu
Quadragésimo,Num. makumaya
Quadrante,S. ndambu ya
Quadrático,Adj. akwadadu
Quadril,S. luketo

