Português,Kikongo
P,P
Pá,S. kukilwa: mpatwa
Pabular,V. songa kimvwama: kusana: kukundidika: kundalala
Paca,Adj. dinda: zowa: zengi: n'kwa umpamvu: tunze
Pacaça,S. mpakasa
Pacacidade,S. luvuvamu: ungudi: lulembamu
Pacato,Adj. aluvuvamu: awungudi: n'lembami

