Português,Kikongo
M,M
Má,Adj. ambi: ampasi: am'vya: an'zilu: avonza: an'kendeleki: m'vani a ntantu
Mabeco,S. dyevwa
Maca, S. dyambu: lekwa: nkondwa a ngwawani: mpambani: nswaswani: moko: mpaka: ntantani: lutantanu: n'kanu: m'fundu
Maçã,S. masya

