Português,Kikongo
N,N
Na,Prep. muna: kuna: kina kya
Nabo,S. pop. dinda: zowa: zengi: n'kwa nkolwa
Nação,S. nsi: antu: wantu: kanda
Nacional,Adj. ansi

